========================================================================================================================
ALL 271 VERBS - COMPLETE TABLE
========================================================================================================================

No.    Image Label                    Kanji                Kana                 Meaning
------------------------------------------------------------------------------------------------------------------------
1      TO MEET                        会う                   あう                   to meet
2      TO PLAY                        遊ぶ                   あそぶ                  to enjoy oneself, play
3      TO WASH                        洗う                   あらう                  to wash
4      TO EXIST                       ある                   ある                   to exist; be; have
5      TO WALK                        歩く                   あるく                  to walk
6      TO SAY                         言う                   いう                   to say
7      TO GO                          行く                   いく                   to go
8      TO HURRY                       急ぐ                   いそぐ                  to hurry
9      TO NEED                        要る                   いる                   to need, require
10     TO MOVE                        動く                   うごく                  to move, work
11     TO SING                        歌う                   うたう                  to sing
12     TO SELL                        売る                   うる                   to sell
13     TO PUT                         置く                   おく                   to put
14     TO SEND                        送る                   おくる                  to send; escort
15     TO PUSH                        押す                   おす                   to push, press
16     TO REMEMBER                    思い出す                 おもいだす                to remember, recollect
17     TO THINK                       思う                   おもう                  to think
18     TO SWIM                        泳ぐ                   およぐ                  to swim
19     TO LOWER                       下ろす                  おろす                  to withdraw   (PANKAJ - CHECK IF CORRECT)
20     TO FINISH                      終わる                  おわる                  to finish
21     TO BUY                         買う                   かう                   to buy
22     TO RETURN                      返す                   かえす                  to give back, return
23     TO GO HOME                     帰る                   かえる                  to go home, return
24     TO TAKE TIME                   掛かる                  かかる                  to take, cost (time or money)
25     TO WRITE                       書く                   かく                   to write, draw, paint



26     TO LEND                        貸す                   かす                   to lend
27     TO WIN                         勝つ                   かつ                   to win
28     TO WEAR (HAT)                  被る                   かぶる                  to put on (a hat, etc.)
29     TRY HARD!                      頑張る                  がんばる                 to do one's best
30     TO LISTEN                      聞く                   きく                   to hear, listen
31     TO CUT                         切る                   きる                   to cut, slice
32     TO TURN OFF                    消す                   けす                   to turn off
33     TO TOUCH                       触る                   さわる                  to touch
34     TO KNOW                        知る                   しる                   to get to know
35     TO DRINK (STRAW)               吸う                   すう                   to breathe in; inhale
36     TO LIVE                        住む                   すむ                   to live; reside
37     TO SIT                         座る                   すわる                  to sit down
38     TO PUT OUT                     出す                   だす                   to take out, hand in, send
39     TO STAND                       立つ                   たつ                   to stand up
40     TO USE                         使う                   つかう                  to use
41     TO ARRIVE                      着く                   つく                   to arrive
42     TO MAKE                        作る                   つくる                  to make
43     TO BRING SOMEONE               連れて行く                つれていく                to take (someone)
44     TO HELP                        手伝う                  てつだう                 to help
45     TO STAY OVERNIGHT              泊まる                  とまる                  to stay
46     TO TAKE                        取る                   とる                   to take
47     TO PHOTOGRAPH                  撮る                   とる                   to take (a photo)
48     TO GROW OLDER                  年を取る                 としをとる                to grow old
49     TO FIX                         直す                   なおす                  to repair
50     TO LOSE                        無くす                  なくす                  to lose





51     TO LEARN                       習う                   ならう                  to learn
52     TO BECOME                      なる                   なる                   to become
53     TO TAKE OFF                    脱ぐ                   ぬぐ                   to take off
54     TO CLIMB                       登る                   のぼる                  to climb
55     TO DRINK                       飲む                   のむ                   to drink
56     TO RIDE                        乗る                   のる                   to ride
57     TO ENTER                       入る                   はいる                  to enter
58     TO PUT ON                      履く                   はく                   to put on
59     TO WORK                        働く                   はたらく                 to work
60     TO SPEAK                       話す                   はなす                  to speak
61     TO PAY                         払う                   はらう                  to pay
62     TO PLAY (INSTRUMENT)           弾く                   ひく                   to play (instrument)
63     TO PULL                        引く                   ひく                   to pull
64     TO FALL (RAIN/SNOW)            降る                   ふる                   to fall (rain/snow)
65     TO TURN                        曲がる                  まがる                  to turn
66     TO WAIT                        待つ                   まつ                   to wait
67     TO TURN                        回す                   まわす                  to turn
68     TO HOLD                        持つ                   もつ                   to hold
69     TO TAKE (SOMETHING)            持って行く                もっていく                to take (something)
70     TO RECEIVE                     もらう                  もらう                  to receive
71     TO BE USEFUL                   役に立つ                 やくにたつ                to be useful
72     TO REST                        休む                   やすむ                  to rest
73     TO CALL                        呼ぶ                   よぶ                   to call
74     TO READ                        読む                   よむ                   to read
75     TO UNDERSTAND                  分かる                  わかる                  to understand




76     TO CROSS                       渡る                   わたる                  to cross
77     TO OPEN                        開ける                  あける                  to open
78     TO GIVE                        上げる                  あげる                  to give
79     TO COLLECT                     集める                  あつめる                 to collect
80     TO BATHE                       浴びる                  あびる                  to bathe
81     TO EXIST (ANIMATE)             いる                   いる                   to exist (animate)
82     TO PUT IN                      入れる                  いれる                  to put in
83     TO BE BORN                     生まれる                 うまれる                 to be born
84     TO GET UP                      起きる                  おきる                  to get up
85     TO TEACH; TO TELL              教える                  おしえる                 to teach; to tell
86     TO MEMORIZE                    覚える                  おぼえる                 to memorize
87     TO GET OFF                     降りる                  おりる                  to get off
88     TO CHANGE                      変える                  かえる                  to change
89     TO PUT ON                      かける                  かける                  to put on
90     TO BORROW                      借りる                  かりる                  to borrow
91     TO THINK                       考える                  かんがえる                to think
92     TO WEAR                        着る                   きる                   to wear
93     TO BE CAREFUL                  気をつける                きをつける                to be careful
94     TO GIVE (TO ME/US)             くれる                  くれる                  to give (to me/us)
95     TO CLOSE                       閉める                  しめる                  to close
96     TO INVESTIGATE                 調べる                  しらべる                 to investigate
97     TO THROW AWAY                  捨てる                  すてる                  to throw away
98     TO EAT                         食べる                  たべる                  to eat
