Word	Has_Kanji	In_Current_1147	In_Complete_1426	In_Tanos_658	Category
あ	No	NO	YES	NO	Complete
ああ	No	NO	YES	NO	Complete
あいます	No	NO	YES	NO	Complete
あう	No	YES	YES	YES	Current+Complete+Tanos
あお	No	YES	YES	YES	Current+Complete+Tanos
あおい	No	YES	YES	YES	Current+Complete+Tanos
あか	No	YES	YES	YES	Current+Complete+Tanos
あかい	No	YES	YES	YES	Current+Complete+Tanos
あかるい	No	YES	YES	YES	Current+Complete+Tanos
あがります	No	NO	YES	NO	Complete
あき	No	YES	YES	YES	Current+Complete+Tanos
あきます	No	NO	YES	NO	Complete
あく	No	YES	YES	YES	Current+Complete+Tanos
あけます	No	NO	YES	NO	Complete
あける	No	YES	YES	YES	Current+Complete+Tanos
あげます	No	NO	YES	NO	Complete
あげる	No	YES	YES	YES	Current+Complete+Tanos
あさ	No	YES	YES	YES	Current+Complete+Tanos
あさごはん	No	YES	YES	YES	Current+Complete+Tanos
あさって	No	YES	YES	YES	Current+Complete+Tanos
あし	No	YES	YES	YES	Current+Complete+Tanos
あした	No	YES	YES	YES	Current+Complete+Tanos
あそこ	No	YES	YES	YES	Current+Complete+Tanos
あそびます	No	NO	YES	NO	Complete
あそぶ	No	YES	YES	YES	Current+Complete+Tanos
あたたかい	No	YES	YES	YES	Current+Complete+Tanos
あたま	No	YES	YES	YES	Current+Complete+Tanos
あたらしい	No	YES	YES	YES	Current+Complete+Tanos
あちら	No	YES	YES	YES	Current+Complete+Tanos
あっち	No	YES	YES	YES	Current+Complete+Tanos
あつい	No	YES	YES	YES	Current+Complete+Tanos
あと	No	YES	YES	YES	Current+Complete+Tanos
あなた	No	YES	YES	YES	Current+Complete+Tanos
あに	No	YES	YES	YES	Current+Complete+Tanos
あね	No	YES	YES	YES	Current+Complete+Tanos
あの	No	YES	YES	YES	Current+Complete+Tanos
あのう	No	NO	YES	NO	Complete
あびます	No	NO	YES	NO	Complete
あびる	No	YES	YES	YES	Current+Complete+Tanos
あぶない	No	YES	YES	YES	Current+Complete+Tanos
あまい	No	YES	YES	YES	Current+Complete+Tanos
あまり	No	YES	YES	YES	Current+Complete+Tanos
あめ	No	YES	YES	YES	Current+Complete+Tanos
あらいます	No	NO	YES	NO	Complete
あらう	No	YES	YES	YES	Current+Complete+Tanos
ありがとうございます	No	NO	YES	NO	Complete
あります	No	NO	YES	NO	Complete
ある	No	YES	YES	NO	Current+Complete
あるきます	No	NO	YES	NO	Complete
あるく	No	YES	YES	YES	Current+Complete+Tanos
あれ	No	YES	YES	YES	Current+Complete+Tanos
いい	No	NO	YES	NO	Complete
いい/よい	No	YES	YES	NO	Current+Complete
いいえ	No	YES	YES	YES	Current+Complete+Tanos
いいます	No	NO	YES	NO	Complete
いう	No	YES	YES	YES	Current+Complete+Tanos
いえ	No	YES	YES	YES	Current+Complete+Tanos
いかが	No	YES	YES	YES	Current+Complete+Tanos
いきます	No	NO	YES	NO	Complete
いく	No	YES	YES	YES	Current+Complete+Tanos
いくつ	No	YES	YES	YES	Current+Complete+Tanos
いくら	No	YES	YES	YES	Current+Complete+Tanos
いけ	No	YES	YES	YES	Current+Complete+Tanos
いしゃ	No	YES	YES	YES	Current+Complete+Tanos
いす	No	YES	YES	YES	Current+Complete+Tanos
いそがしい	No	YES	YES	YES	Current+Complete+Tanos
いたい	No	YES	YES	YES	Current+Complete+Tanos
いただきます	No	NO	YES	NO	Complete
いち	No	YES	YES	YES	Current+Complete+Tanos
いちど	No	NO	YES	NO	Complete
いちにち	No	YES	YES	YES	Current+Complete+Tanos
いちばん	No	YES	YES	YES	Current+Complete+Tanos
いっしょ	No	YES	YES	YES	Current+Complete+Tanos
いってきます	No	NO	YES	NO	Complete
いつ	No	YES	YES	YES	Current+Complete+Tanos
いつか	No	YES	YES	YES	Current+Complete+Tanos
いつつ	No	YES	YES	YES	Current+Complete+Tanos
いつも	No	YES	YES	YES	Current+Complete+Tanos
いぬ	No	YES	YES	YES	Current+Complete+Tanos
いま	No	YES	YES	YES	Current+Complete+Tanos
います	No	NO	YES	NO	Complete
いみ	No	YES	YES	YES	Current+Complete+Tanos
いもうと	No	YES	YES	YES	Current+Complete+Tanos
いもうとさん	No	NO	YES	NO	Complete
いや	No	YES	YES	YES	Current+Complete+Tanos
いらっしゃいませ	No	NO	YES	NO	Complete
いりぐち	No	YES	YES	YES	Current+Complete+Tanos
いります	No	NO	YES	NO	Complete
