Kanji,Kana,English,In_Current_1147,In_Complete_1426,In_Tanos_658,Category
"会う","あう","to meet",YES,YES,YES,ALL
"青","あお","blue",YES,YES,YES,ALL
"青い","あおい","blue",YES,YES,YES,ALL
"赤","あか","red",YES,YES,YES,ALL
"赤い","あかい","red",YES,YES,YES,ALL
"明い","あかるい","bright",YES,YES,YES,ALL
"秋","あき","autumn",YES,YES,YES,ALL
"開く","あく","to open, to become open",YES,YES,YES,ALL
"開ける","あける","to open",YES,YES,YES,ALL
"上げる","あげる","to give",YES,YES,YES,ALL
"朝","あさ","morning",YES,YES,YES,ALL
"朝御飯","あさごはん","breakfast",YES,YES,YES,ALL
"(none)","あさって","day after tomorrow",YES,YES,YES,ALL
"足","あし","foot, leg",YES,YES,YES,ALL
"明日","あした","tomorrow",YES,YES,YES,ALL
"(none)","あそこ","over there",YES,YES,YES,ALL
"遊ぶ","あそぶ","to play, to make a visit",YES,YES,YES,ALL
"暖かい","あたたかい","warm",YES,YES,YES,ALL
"頭","あたま","head",YES,YES,YES,ALL
"新しい","あたらしい","new",YES,YES,YES,ALL
"(none)","あちら","there",YES,YES,YES,ALL
"暑い","あつい","hot",YES,YES,YES,ALL
"熱い","あつい","hot to the touch",YES,YES,YES,ALL
"厚い","あつい","kind, deep, thick",YES,YES,YES,ALL
"(none)","あっち","over there",YES,YES,YES,ALL
"後","あと","afterwards",YES,YES,YES,ALL
"(none)","あなた","you",YES,YES,YES,ALL
"兄","あに","(humble) older brother",YES,YES,YES,ALL
"姉","あね","(humble) older sister",YES,YES,YES,ALL
"(none)","あの","that over there",YES,YES,YES,ALL
"(none)","あの","um...",YES,YES,YES,ALL
"(none)","アパート","apartment",YES,YES,YES,ALL
"(none)","あびる","to bathe, to shower",YES,YES,YES,ALL
"危ない","あぶない","dangerous",YES,YES,YES,ALL
"甘い","あまい","sweet",YES,YES,YES,ALL
"(none)","あまり","not very",YES,YES,YES,ALL
"雨","あめ","rain",YES,YES,YES,ALL
"飴","あめ","candy",YES,YES,YES,ALL
"洗う","あらう","to wash",YES,YES,YES,ALL
"歩く","あるく","to walk",YES,YES,YES,ALL
"(none)","あれ","that",YES,YES,YES,ALL
"(none)","いいえ","no",YES,YES,YES,ALL
"言う","いう","to say",YES,YES,YES,ALL
"家","いえ","house",YES,YES,YES,ALL
"(none)","いかが","how",YES,YES,YES,ALL
"行く","いく","to go",YES,YES,YES,ALL
"(none)","いくつ","how many?,how old?",YES,YES,YES,ALL
"(none)","いくら","how much?",YES,YES,YES,ALL
"池","いけ","pond",YES,YES,YES,ALL
"医者","いしゃ","medical doctor",YES,YES,YES,ALL
"(none)","いす","chair",YES,YES,YES,ALL
"忙しい","いそがしい","busy, irritated",YES,YES,YES,ALL
"痛い","いたい","painful",YES,YES,YES,ALL
"一","いち","one",YES,YES,YES,ALL
"一日","いちにち","first of the month",YES,YES,YES,ALL
"(none)","いちばん","best, first",YES,YES,YES,ALL
"(none)","いつ","when",YES,YES,YES,ALL
"五日","いつか","five days, fifth day",YES,YES,YES,ALL
"一緒","いっしょ","together",YES,YES,YES,ALL
"五つ","いつつ","five",YES,YES,YES,ALL
"(none)","いつも","always",YES,YES,YES,ALL
"犬","いぬ","dog",YES,YES,YES,ALL
"今","いま","now",YES,YES,YES,ALL
"意味","いみ","meaning",YES,YES,YES,ALL
